Wall time,Step,Value
1716226931.8515906,52200,-28.205570220947266
1716226945.9462588,52400,-31.035358428955078
1716226974.2139673,52800,-31.86362075805664
1716227030.0033078,53600,-30.85049819946289
1716227086.2553613,54400,-28.5893611907959
1716227126.6518075,54800,-29.08000373840332
1716227196.4189146,55800,-30.182388305664062
1716227405.4044151,58600,-25.637672424316406
1716227475.1835861,59600,-29.896163940429688
1716227489.1443374,59800,-27.784360885620117
1716227545.1875713,60600,-29.45204734802246
1716227559.1951947,60800,-28.432537078857422
1716227627.4626813,61600,-29.837783813476562
1716227641.568311,61800,-29.960575103759766
1716227669.3917222,62200,-29.066377639770508
1716227711.2838976,62800,-28.091886520385742
1716227780.9140062,63800,-32.20671081542969
1716227794.7285504,64000,-31.88605499267578
1716227808.5497754,64200,-30.631805419921875
1716227891.1931548,65200,-34.829898834228516
1716227904.9692118,65400,-32.019187927246094
1716227919.0866554,65600,-33.40885543823242
1716227961.2427769,66200,-31.003742218017578
1716228099.4038174,68000,-30.938596725463867
1716228127.3484821,68400,-33.608158111572266
1716228211.1195657,69600,-29.81131935119629
1716228406.3425395,72200,-31.81696319580078
1716228447.96507,72800,-33.05104446411133
1716228503.975318,73600,-29.67908477783203
1716228572.5864186,74400,-29.292688369750977
1716228600.613129,74800,-31.70606803894043
1716228656.6233747,75600,-31.130895614624023
1716228670.7720828,75800,-29.39959716796875
1716228684.958425,76000,-31.940771102905273
1716228712.902908,76400,-29.836626052856445
1716228795.6809905,77400,-29.704374313354492
1716228865.541636,78400,-31.896486282348633
1716228879.5771928,78600,-29.986896514892578
1716229116.931039,81800,-30.290348052978516
1716229215.0567045,83200,-31.33144760131836
1716229310.9729,84400,-28.213951110839844
1716229325.0984535,84600,-31.929540634155273
1716229353.1191995,85000,-32.7801399230957
1716229437.84523,86200,-29.8386287689209
1716229575.5643892,88000,-28.788610458374023
1716229603.3638425,88400,-28.96445083618164
1716229617.2179966,88600,-32.02130126953125
1716229659.1398222,89200,-30.167360305786133
1716229756.239357,90400,-28.92961883544922
1716229867.7694206,92000,-31.352468490600586
1716229881.907065,92200,-31.7778377532959
1716229924.099697,92800,-31.557632446289062
1716229938.191,93000,-33.95685577392578
1716230076.385702,94800,-31.47557258605957
1716230090.289375,95000,-31.52265167236328
1716230256.9379935,97200,-31.278949737548828
